"Origin","Destination","Year","count"
"MSP","DKE","2015-2016",4
"MSP","DKE","2017-2018",8
"MSP","FHML","2015-2016",3
"MSP","UCM","2015-2016",10
"MSP","UCM","2016-2017",8
"MSP","UCM","2017-2018",13
"UCM","DKE","2015-2016",2
"UCM","DKE","2016-2017",7
"UCM","DKE","2017-2018",12
"UCM","FASoS","2015-2016",11
"UCM","FASoS","2016-2017",11
"UCM","FASoS","2017-2018",14
"UCM","FHML","2015-2016",6
"UCM","FHML","2016-2017",4
"UCM","FHML","2017-2018",1
"UCM","FPN","2015-2016",15
"UCM","FPN","2016-2017",7
"UCM","FPN","2017-2018",18
"UCM","FdR","2015-2016",10
"UCM","FdR","2016-2017",4
"UCM","FdR","2017-2018",1
"UCM","MSP","2015-2016",9
"UCM","MSP","2016-2017",28
"UCM","MSP","2017-2018",32
"UCM","SBE","2015-2016",13
"UCM","SBE","2016-2017",28
"UCM","SBE","2017-2018",27
"UCM","UCM","2015-2016",2
"UCM","UCV","2016-2017",4
"UCM","UCV","2017-2018",3
"UCV","MSP","2017-2018",3
"UCV","UCM","2017-2018",4
