Student_ID_random,Course_ID,time,Concentration,Cluster,Academic_year,Period
767,PRO1009,20086,NA,NA,2008-2009,6
210,SSC2028,20152,SSC,Sociology,2015-2016,2
1087,SKI1005,20071,NA,Methods,2007-2008,1
2101,SSC2036,20071,SSC,Business,2007-2008,1
923,PRO1011,20116,NA,NA,2011-2012,6
2374,SCI2034,20094,SCI,Psychology,2009-2010,4
2241,SKI1009,20095,NA,Skills,2009-2010,5
582,SSC2018,20071,SSC,Business,2007-2008,1
2543,HUM2022,20162,HUM,Cultural Studies,2016-2017,2
2349,COR1002,20152,NA,Philosophy,2015-2016,2
574,SAS2001,20161,SSC,NA,2016-2017,1
2063,COR1004,20115,NA,Philosophy,2011-2012,5
773,SSC2036,20112,SSC,Business,2011-2012,2
1828,SAS2001,20141,SSC,NA,2014-2015,1
2179,SKI1005,20135,NA,Methods,2013-2014,5
2276,SKI2084,20092,NA,Skills,2009-2010,2
2369,SKI1004,20094,NA,Methods,2009-2010,4
1953,CAP3000,20144,NA,NA,2014-2015,4
1330,COR1005,20091,NA,Methods,2009-2010,1
737,PRO2004,20086,NA,Skills,2008-2009,6
687,SCI2012,20094,SCI,Globalization & SD,2009-2010,4
2036,PRO3008,20166,NA,Skills,2016-2017,6
175,SSC2015,20081,NA,NA,2008-2009,1
2182,COR1003,20131,NA,History,2013-2014,1
1131,SAS3001,20161,SSC,NA,2016-2017,1
1261,SKI1005,20095,NA,Methods,2009-2010,5
2179,SAS3001,20151,SSC,NA,2015-2016,1
1114,COR1003,20081,NA,History,2008-2009,1
1343,SSC1025,20104,SSC,Governance,2010-2011,4
166,HUM2030,20145,HUM,Cultural Studies,2014-2015,5
1943,SCI1006,20125,NA,NA,2012-2013,5
441,SSC2006,20124,SSC,Psychology,2012-2013,4
1454,SSC1007,20172,SSC,International Law,2017-2018,2
2098,SSC3040,20095,SSC,Sociology,2009-2010,5
773,HUM1003,20114,HUM,Cultural Studies,2011-2012,4
1088,PRO1010,20133,NA,Skills,2013-2014,3
2084,UCLCLC228,20071,NA,NA,2007-2008,1
1985,SKI2065,20101,NA,Methods,2010-2011,1
818,SSC1009,20101,SSC,Governance,2010-2011,1
132,SCI2026,20124,NA,NA,2012-2013,4
875,SKI2084,20152,NA,Skills,2015-2016,2
31,SSC2019,20162,SSC,Psychology,2016-2017,2
2129,SKI1008,20141,NA,Skills,2014-2015,1
1529,PRO1010,20071,NA,Skills,2007-2008,1
1975,HUM1011,20121,HUM,Cultural Studies,2012-2013,1
54,HUM3029,20134,HUM,Literature,2013-2014,4
1049,SSC2043,20111,SSC,Economics,2011-2012,1
972,COR1003,20101,NA,History,2010-2011,1
766,HUM2022,20102,HUM,Cultural Studies,2010-2011,2
1279,SAS1001,20161,SSC,NA,2016-2017,1
2233,COR1005,20131,NA,Methods,2013-2014,1
2136,SKI2083,20105,NA,Skills,2010-2011,5
1361,PRO1012,20166,NA,Methods,2016-2017,6
1562,SSC3047,20122,SSC,Globalization & SD,2012-2013,2
884,PRO1011,20136,NA,NA,2013-2014,6
1723,EBC2054,20161,NA,NA,2016-2017,1
159,PRO1011,20096,NA,NA,2009-2010,6
152,SKI2007,20121,NA,Skills,2012-2013,1
909,SSC2042,20115,SSC,International Law,2011-2012,5
2040,PRO1011,20096,NA,NA,2009-2010,6
1351,HUM1007,20172,HUM,Philosophy,2017-2018,2
777,SSC2046,20161,SSC,Globalization & SD,2016-2017,1
2134,PRO1010,20143,NA,Skills,2014-2015,3
2365,SSC2052,20174,SSC,Economics,2017-2018,4
629,SSC2043,20165,SSC,Economics,2016-2017,5
1418,PRO1012,20176,NA,Methods,2017-2018,6
2234,SKI1009,20112,NA,Skills,2011-2012,2
2069,SSC2046,20141,SSC,Globalization & SD,2014-2015,1
879,COR1004,20135,NA,Philosophy,2013-2014,5
1954,HUM2003,20151,HUM,Sociology,2015-2016,1
2109,SAS2003,20151,SSC,NA,2015-2016,1
2058,HUM1003,20134,HUM,Cultural Studies,2013-2014,4
2128,SAS3002,20124,SSC,NA,2012-2013,4
324,SSC1025,20154,SSC,Governance,2015-2016,4
2273,PRO2003,20093,NA,Skills,2009-2010,3
1131,SSC2037,20154,SSC,Int. Relations,2015-2016,4
2467,SSC3032,20102,SSC,Int. Relations,2010-2011,2
655,COR1004,20145,NA,Philosophy,2014-2015,5
1693,SAS2002,20121,SSC,NA,2012-2013,1
1872,HUM3045,20161,HUM,Philosophy,2016-2017,1
926,UCLCLC229,20081,NA,NA,2008-2009,1
1445,SAS3001,20171,SSC,NA,2017-2018,1
2273,SKI1007,20071,NA,NA,2007-2008,1
415,COR1002,20092,NA,Philosophy,2009-2010,2
2480,SKI1007,20071,NA,NA,2007-2008,1
2038,PRO1012,20146,NA,Methods,2014-2015,6
369,HUM1007,20152,HUM,Philosophy,2015-2016,2
1577,HUM1003,20071,HUM,Cultural Studies,2007-2008,1
896,SSC1007,20071,SSC,International Law,2007-2008,1
825,SCI2012,20114,SCI,Globalization & SD,2011-2012,4
343,SAE0001,20101,NA,NA,2010-2011,1
487,SAE0001,20094,NA,NA,2009-2010,4
1353,PRO3006,20083,NA,Skills,2008-2009,3
2377,SAH3001,20154,HUM,NA,2015-2016,4
2257,COR1004,20162,NA,Philosophy,2016-2017,2
420,SKI2088,20161,NA,Skills,2016-2017,1
825,PRO1010,20093,NA,Skills,2009-2010,3
1974,SCI2009,20155,SCI,Biomedical Sciences,2015-2016,5
1392,SSC2004,20125,SSC,Psychology,2012-2013,5
1944,HUM2051,20154,HUM,Philosophy,2015-2016,4
76,SKI1004,20164,NA,Methods,2016-2017,4
192,PRO1010,20153,NA,Skills,2015-2016,3
1997,SSC3048,20104,NA,NA,2010-2011,4
2177,SKI2086,20172,NA,Skills,2017-2018,2
776,SKI2085,20121,NA,Methods,2012-2013,1
1394,HUM1002,20082,NA,NA,2008-2009,2
1623,SAC1002,20161,SCI,NA,2016-2017,1
1803,COR1002,20155,NA,Philosophy,2015-2016,5
346,SKI2007,20161,NA,Skills,2016-2017,1
485,COR1002,20145,NA,Philosophy,2014-2015,5
1629,SKI2007,20104,NA,Skills,2010-2011,4
1241,SAH3001,20111,HUM,NA,2011-2012,1
757,COR1003,20091,NA,History,2009-2010,1
1140,SSC1006,20105,SSC,Int. Relations,2010-2011,5
1556,SSC3047,20142,SSC,Globalization & SD,2014-2015,2
1302,SKI1004,20104,NA,Methods,2010-2011,4
352,SSC1026,20084,NA,NA,2008-2009,4
2538,HUM3019,20104,HUM,History,2010-2011,4
335,COR1003,20081,NA,History,2008-2009,1
1132,SKI2086,20162,NA,Skills,2016-2017,2
1936,SKI2084,20122,NA,Skills,2012-2013,2
729,SCI2039,20175,SCI,Computer Science,2017-2018,5
1292,SSC2004,20145,SSC,Psychology,2014-2015,5
86,SKI1008,20141,NA,Skills,2014-2015,1
1794,SKI1004,20164,NA,Methods,2016-2017,4
37,SCI2035,20122,SCI,Biomedical Sciences,2012-2013,2
1167,SAS2004,20121,SSC,NA,2012-2013,1
972,PRO1011,20106,NA,NA,2010-2011,6
1776,SKI2083,20165,NA,Skills,2016-2017,5
1463,HUM1013,20122,HUM,History,2012-2013,2
2535,SSC3010,20121,NA,NA,2012-2013,1
1718,SCI2010,20094,SCI,Mathematics,2009-2010,4
61,HUM2003,20081,HUM,Sociology,2008-2009,1
1054,SCI1005,20145,SCI,Computer Science,2014-2015,5
1290,HUM2051,20144,HUM,Philosophy,2014-2015,4
1348,SAE0002,20101,NA,NA,2010-2011,1
1610,COR1002,20071,NA,Philosophy,2007-2008,1
1371,HUM2003,20091,HUM,Sociology,2009-2010,1
1719,SSC3011,20144,SSC,Governance,2014-2015,4
2293,COR1005,20071,NA,Methods,2007-2008,1
1302,COR1003,20104,NA,History,2010-2011,4
2012,INT0001,20091,NA,NA,2009-2010,1
138,SKI1008,20174,NA,Skills,2017-2018,4
977,SSC2063,20165,SSC,Psychology,2016-2017,5
178,SAH2003,20154,HUM,NA,2015-2016,4
306,SSC1005,20161,SSC,Psychology,2016-2017,1
502,SKI1009,20102,NA,Skills,2010-2011,2
316,SAC3001,20171,SCI,NA,2017-2018,1
1018,SSC2063,20175,SSC,Psychology,2017-2018,5
771,HUM2013,20152,HUM,Cultural Studies,2015-2016,2
706,CAP3000,20144,NA,NA,2014-2015,4
2291,SKI1004,20071,NA,Methods,2007-2008,1
814,SSC1027,20172,SSC,Economics,2017-2018,2
2053,SSC1006,20175,SSC,Int. Relations,2017-2018,5
201,COR1003,20101,NA,History,2010-2011,1
2386,PRO3010,20093,NA,NA,2009-2010,3
989,SSC2064,20154,SSC,Governance,2015-2016,4
5,SSC3052,20155,SSC,Int. Relations,2015-2016,5
2447,SKI2049,20151,NA,Skills,2015-2016,1
1967,SSC2024,20112,SSC,International Law,2011-2012,2
682,SCI1016,20162,SCI,Globalization & SD,2016-2017,2
2267,COR1004,20135,NA,Philosophy,2013-2014,5
1753,SSC2041,20081,NA,NA,2008-2009,1
1677,SSC2050,20125,SSC,Psychology,2012-2013,5
496,SKI2084,20122,NA,Skills,2012-2013,2
1625,COR1003,20071,NA,History,2007-2008,1
521,SSC2018,20084,SSC,Business,2008-2009,4
951,SKI1005,20155,NA,Methods,2015-2016,5
1404,UCEXTE1044,20071,NA,NA,2007-2008,1
1494,CAP3000,20071,NA,NA,2007-2008,1
1868,SKI2083,20095,NA,Skills,2009-2010,5
833,SSC3011,20124,SSC,Governance,2012-2013,4
1091,PRO3009,20133,NA,Methods,2013-2014,3
1024,SSC1007,20152,SSC,International Law,2015-2016,2
2008,HUM2003,20111,HUM,Sociology,2011-2012,1
535,PRO2004,20123,NA,Skills,2012-2013,3
808,SKI3051,20102,NA,Skills,2010-2011,2
2369,SAS2001,20111,SSC,NA,2011-2012,1
2518,SCI2010,20164,SCI,Mathematics,2016-2017,4
2132,COR1002,20165,NA,Philosophy,2016-2017,5
356,COR1003,20134,NA,History,2013-2014,4
5,SSC1009,20131,SSC,Governance,2013-2014,1
870,HUM2014,20152,HUM,Philosophy,2015-2016,2
1308,SAS2001,20114,SSC,NA,2011-2012,4
78,HUM2044,20134,HUM,Philosophy,2013-2014,4
1324,SCI3022,20111,NA,NA,2011-2012,1
687,SSC2043,20111,SSC,Economics,2011-2012,1
1805,SAS3006,20104,SSC,NA,2010-2011,4
2177,SKI2049,20174,NA,Skills,2017-2018,4
2144,SCI1009,20071,SCI,Biomedical Sciences,2007-2008,1
2440,EUS3001,20102,NA,NA,2010-2011,2
1623,PRO1010,20143,NA,Skills,2014-2015,3
2537,SKI3002,20172,NA,Skills,2017-2018,2
2018,SSC3049,20151,SSC,International Law,2015-2016,1
167,SSC1009,20091,SSC,Governance,2009-2010,1
1601,EBC2054,20121,NA,NA,2012-2013,1
2352,HUM2043,20175,HUM,Cultural Studies,2017-2018,5
1308,SIK2000,20114,NA,NA,2011-2012,4
160,SSC2061,20172,SSC,Methods,2017-2018,2
246,HUM2003,20151,HUM,Sociology,2015-2016,1
2124,SAE0003,20094,NA,NA,2009-2010,4
2165,SSC3018,20155,SSC,Methods,2015-2016,5
1044,SKI1004,20154,NA,Methods,2015-2016,4
418,HUM1007,20112,HUM,Philosophy,2011-2012,2
1863,SSC1003,20151,SSC,Sociology,2015-2016,1
1945,SKI1005,20125,NA,Methods,2012-2013,5
2506,SKI1005,20172,NA,Methods,2017-2018,2
464,PRO1010,20163,NA,Skills,2016-2017,3
666,SSC3032,20085,SSC,Int. Relations,2008-2009,5
716,SSC2004,20135,SSC,Psychology,2013-2014,5
2082,SCI1016,20132,SCI,Globalization & SD,2013-2014,2
1658,SCI2012,20134,SCI,Globalization & SD,2013-2014,4
1694,COR1002,20165,NA,Philosophy,2016-2017,5
848,SKI2083,20165,NA,Skills,2016-2017,5
1880,PRO2003,20143,NA,Skills,2014-2015,3
1157,CAP3000,20131,NA,NA,2013-2014,1
968,SSC2018,20094,SSC,Business,2009-2010,4
335,HUM2025,20095,NA,NA,2009-2010,5
391,SKI1005,20105,NA,Methods,2010-2011,5
581,SSC3049,20161,SSC,International Law,2016-2017,1
1738,SKI2030,20091,NA,NA,2009-2010,1
831,HUM3036,20071,HUM,Cultural Studies,2007-2008,1
2199,CAP3000,20154,NA,NA,2015-2016,4
1018,SAS2001,20164,SSC,NA,2016-2017,4
1384,COR1005,20134,NA,Methods,2013-2014,4
1277,COR1002,20175,NA,Philosophy,2017-2018,5
521,COR1004,20092,NA,Philosophy,2009-2010,2
2008,SSC2006,20114,SSC,Psychology,2011-2012,4
2437,COR1004,20095,NA,Philosophy,2009-2010,5
313,SSC2037,20154,SSC,Int. Relations,2015-2016,4
314,COR1005,20071,NA,Methods,2007-2008,1
1562,SSC2046,20121,SSC,Globalization & SD,2012-2013,1
222,COR1004,20122,NA,Philosophy,2012-2013,2
1097,SCI2011,20151,SCI,Computer Science,2015-2016,1
915,PRO2004,20173,NA,Skills,2017-2018,3
2453,COR1005,20114,NA,Methods,2011-2012,4
2269,PRO1010,20143,NA,Skills,2014-2015,3
265,COR1003,20104,NA,History,2010-2011,4
1985,SCI2018,20101,SCI,Mathematics,2010-2011,1
154,SSC2046,20161,SSC,Globalization & SD,2016-2017,1
803,EBC2048,20164,NA,NA,2016-2017,4
1883,COR1003,20111,NA,History,2011-2012,1
432,SSC2052,20134,SSC,Economics,2013-2014,4
2225,COR1002,20175,NA,Philosophy,2017-2018,5
38,SKI3002,20142,NA,Skills,2014-2015,2
102,SAH2001,20171,HUM,NA,2017-2018,1
408,UGR3003,20161,NA,Skills,2016-2017,1
396,COR1004,20102,NA,Philosophy,2010-2011,2
2240,SSC3052,20155,SSC,Int. Relations,2015-2016,5
2537,COR1004,20152,NA,Philosophy,2015-2016,2
2454,HUM2022,20122,HUM,Cultural Studies,2012-2013,2
1455,SKI1009,20122,NA,Skills,2012-2013,2
786,SKI2086,20172,NA,Skills,2017-2018,2
1983,SAE0003,20094,NA,NA,2009-2010,4
1180,PRO1011,20116,NA,NA,2011-2012,6
363,SSC2037,20084,SSC,Int. Relations,2008-2009,4
1947,SAH3001,20144,HUM,NA,2014-2015,4
475,SKI2049,20141,NA,Skills,2014-2015,1
1443,COR1002,20152,NA,Philosophy,2015-2016,2
1382,SSC1005,20092,SSC,Psychology,2009-2010,2
2079,SAE0005,20094,NA,NA,2009-2010,4
2389,HUM2043,20085,HUM,Cultural Studies,2008-2009,5
906,SSC3044,20171,SSC,Business,2017-2018,1
1661,SKI1009,20175,NA,Skills,2017-2018,5
982,SSC2025,20101,SSC,Psychology,2010-2011,1
1422,COR1002,20175,NA,Philosophy,2017-2018,5
1423,SCI2011,20161,SCI,Computer Science,2016-2017,1
1299,SAS3001,20104,SSC,NA,2010-2011,4
159,SSC2051,20115,NA,NA,2011-2012,5
2013,COR1002,20095,NA,Philosophy,2009-2010,5
297,COR1005,20174,NA,Methods,2017-2018,4
